ward_name,Searches,Completed Trips,Cancelled Bookings,Booking Cancellation Rate,Average Distance per Trip (km),Base Points
Kamakshipalya,510,250,92,0.175035484,19.46385957,40.62130844
Kamakya Nagar,1117,418,214,0.207348387,19.2864986,39.95054727
Kammagondanahalli,962,328,146,0.242256452,5.783863621,40.29147872
Kammanahalli,1045,315,211,0.269832258,10.44772161,40.31164574
Kanneshwara Rama,1247,538,230,0.196027419,6.716687887,39.74197601
Katriguppe,1243,600,231,0.197120968,6.411969393,39.75099833
Kaval Bairasandra,1801,661,341,0.241332258,1.700852,39.20661899
Kaveripura,227,104,38,0.129074194,12.58172235,40.86008626
Kempapura,4503,1632,825,0.276566129,10.55090144,35.89000972
Kempapura Agrahara,117,41,23,0.159945161,1.978096274,41.08209394
Kempegowda Ward,2086,569,401,0.352096774,6.29428282,39.43104715
Kengeri,856,376,153,0.205590323,18.25705183,40.2802454
Kesare,14,6,4,0.034946774,5.551675923,70.99553256
Kodigehalli,2060,813,363,0.231191935,3.75300257,38.82983967
Kogilu,2951,1102,494,0.272769355,10.29960245,37.87059427
Konanakunte,2605,1104,524,0.24636129,19.72735863,38.19294384
Konena Agrahara,4529,1114,569,0.265954839,5.599050159,35.80470373
Koramangala,14496,3520,1693,0.319914516,13.7705754,23.24928803
Krishnamurthipuram,36,22,5,0.040322581,15.47077269,70.97083287
Kudlu,2930,644,321,0.27655,5.515113336,37.91633845
Kumaraswamy Layout,1411,603,249,0.197890323,14.83611062,39.53730834
Kumbarakoppalu,16,3,3,0.032258065,7.987879522,70.99132982
Kurubarahalli,23,10,1,0.016129032,13.01381078,70.97528817
Kushal Nagar,1035,337,184,0.203191935,13.0370645,40.04082582
Kuvempu Nagara,66,26,5,0.038977419,11.179719,40.93122549
Kuvempu Nagara C I T B,42,19,3,0.040322581,2.715505631,70.9631034
Kuvempu Nagara M Block,23,12,2,0.024193548,16.87074742,70.97821481
Kuvempunagar,1461,560,282,0.203724194,7.094821234,39.49398281
Kyathamaranahalli,4,1,0,0.0,4.543851698,70.99742351
Lakkasandra,2821,636,433,0.305516129,1.77472769,38.20849895
Lakshmi Devi Nagar,150,70,27,0.111306452,12.22696592,40.92084191
Lakshmipuram,30,18,0,0.0,13.87372288,70.96392915
Lal Bahadur Nagar,3321,872,438,0.316037097,1.31516875,37.62323064
Lashkar Mohalla,152,45,30,0.215053226,10.72976811,41.2229943
Lingarajapura,2527,891,489,0.253232258,5.303419729,38.32432115
Madeshwaranagara Badavane,30,8,6,0.072580645,13.25828302,71.0113407
Madivala,8346,2168,1406,0.358504839,4.312962151,31.40761714
Mahadevapura,5911,1199,774,0.298767742,14.12781702,34.19112115
Mahalakshimpuram,576,276,96,0.157924194,8.34797158,40.48500796
Mallasandra,315,136,47,0.160796774,18.79786979,40.82947981
Malleswaram,1459,614,243,0.203875806,3.612897939,39.49711547
Manchegowdanakoppalu,31,11,5,0.045698387,7.48026067,70.98143598
Mandi Mohalla,116,39,23,0.133919355,3.155996904,41.01454964
Mangammanapalya,1735,467,300,0.312662903,18.56917875,39.64729464
Manorayanapalya,1275,416,236,0.239654839,17.66944771,39.87697439
Marappana Palya,1110,413,248,0.272551613,5.900890927,40.24118423
Marathahalli,12700,2235,1764,0.372635484,13.53969687,25.89158279
Marenahalli,858,392,171,0.212769355,16.5272218,40.30469967
Maruthi Mandir ward,527,251,85,0.160279032,11.54881542,40.55487581
Maruthi Seva Nagar,2827,897,513,0.274740323,11.06336099,38.04004874
Mattikere,1244,545,228,0.2349,5.595193527,39.89660209
Medahalli,2127,646,323,0.272020968,2.768952588,38.92843853
Meenabazaar,9,3,0,0.0,18.0470994,70.99098229
Metagali,12,3,3,0.032258065,18.10794309,70.9964828
Mudalapalya,298,134,55,0.163932258,13.02892769,40.86054362
Muneshwara Nagar,351,76,77,0.278901613,7.44156603,41.25047756
Munnekollala,9875,1756,1204,0.343283871,7.634981918,29.34175377
N R_Mohalla,7,1,3,0.032258065,14.7931579,71.00292402
N S Palya,5001,1423,722,0.266890323,18.04509494,35.20113841
Naganathapura,2021,461,293,0.288832258,17.85464206,39.14985048
Nagapura,1849,869,353,0.233183871,15.81763537,39.10998438
Nagarabhavi,769,352,115,0.20663871,13.19860128,40.39621227
Nagavara,645,170,134,0.27733871,2.598659335,40.86390946
Nalvadi Krishnaraja Wadior Park,1068,497,177,0.167433871,4.070945568,39.87903799
Nandini Layout,409,196,71,0.166604839,18.07252958,40.72549893
Nayandahalli,354,147,71,0.232229032,12.52215213,41.03191075
Neelasandra,2133,596,314,0.273485484,1.174743981,38.92789919
Nelagadderanahalli,840,230,160,0.256964516,2.927959314,40.51472775
New Bayappanahalli,3046,730,444,0.318080645,13.60653361,37.9891606
New Thippasandra,6323,1572,806,0.224695161,1.096170093,33.31139607
Okalipuram,950,395,262,0.327059677,4.055352977,40.74145625
Old Thippasandra,7448,2061,1010,0.29651129,11.425942,32.19899997
Padarayanapura,147,46,44,0.210395161,14.14600876,41.21159962
Padavarahalli_Vontikoppal,13,5,2,0.024193548,13.38726393,70.99109726
Padmanabha Nagar,1614,693,276,0.190758065,5.26111688,39.25084719
Peenya,931,302,197,0.295893548,14.53140521,40.59119754
Prakash Nagar,410,204,71,0.202964516,5.507732662,40.84514749
Pulikeshinagar,3697,1198,654,0.307808065,7.182594265,37.09264783
Puneet Rajkumar,387,197,75,0.1627,15.1833367,40.74226737
Puttenahalli - Sarakki Lake,2179,743,365,0.227216129,13.34302508,38.66013567
RBI layout,2873,858,403,0.25846129,17.1352448,37.90266942
Radhakrishna Temple Ward,2267,983,444,0.199782258,13.49464495,38.44134216
